tipo_celular,module_size,SLC17A5_MM,SLC17A5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.193,72.0,19,6,31.58,4.06 (4.04-4.08),13,68.42,1.81 (1.03-2.59),2.11,3.89
T cells 18,282.0,0.088,4.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656.0,0.118,54.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,666.0,0.109,10.0,127,2,1.57,2.07 (2.05-2.09),125,98.43,3.87 (3.53-4.21),3.80,5.87
GABA neurons expressing GLU receptors 22,703.0,0.065,1.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,380.0,0.234,87.0,39,2,5.13,1.90 (1.59-2.22),37,94.87,3.03 (2.45-3.61),2.40,2.58
da like neurons 11,77.0,0.261,44.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.065,4.0,141,1,0.71,2.08 (NA-NA),140,99.29,2.97 (2.73-3.21),1.38,6.86
oligodendrocytes 20,348.0,0.033,7.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2090.0,0.167,59.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,262.0,0.092,23.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,254.0,0.019,1.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22),2.15,2.49
oligodendrocytes 10,2107.0,0.038,3.0,358,7,1.96,0.94 (0.08-1.80),351,98.04,3.94 (3.75-4.13),51.25,8.64
connective tissue cells 21,152.0,0.174,12.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1401.0,0.016,1.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,121.0,0.288,87.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.318,57.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807.0,0.171,92.0,104,2,1.92,1.70 (-0.57-3.97),102,98.08,2.89 (2.60-3.17),20.91,5.09
oligodendrocytes 0,2078.0,0.096,16.0,238,1,0.42,2.00 (NA-NA),237,99.58,3.64 (3.42-3.87),2.76,5.03
microglia 1,480.0,0.165,37.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,854.0,0.047,5.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.14,45.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
