tipo_celular,module_size,SLC7A5_MM,SLC7A5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.283,79.0,102,28,27.45,2.40 (1.98-2.81),74,72.55,3.95 (3.51-4.39),3.96,2.68
T cells 18,477.0,0.183,65.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423.0,0.173,64.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.252,86.0,127,14,11.02,2.17 (1.40-2.94),113,88.98,4.05 (3.71-4.39),4.04,6.06
GABA neurons expressing GLU receptors 22,400.0,0.147,20.0,24,9,37.5,1.04 (0.34-1.74),15,62.5,2.82 (2.39-3.26),5.48,2.44
GLU like neurons 17,489.0,0.082,13.0,42,2,4.76,4.33 (4.33-4.33),40,95.24,6.11 (5.54-6.68),5.45,3.10
da like neurons 11,1220.0,0.105,17.0,410,17,4.15,2.59 (1.97-3.22),393,95.85,4.32 (4.13-4.51),16.84,7.11
GABA neurons expressing GABA receptors 13,265.0,0.14,39.0,78,6,7.69,2.87 (2.01-3.73),72,92.31,4.52 (4.10-4.95),4.42,4.25
endothelial cells 9,658.0,0.496,98.0,120,11,9.17,4.31 (2.89-5.72),109,90.83,4.64 (4.32-4.96),3.02,3.72
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.113,28.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.155,83.0,83,2,2.41,1.36 (0.40-2.32),81,97.59,3.31 (2.86-3.76),2.08,4.53
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,23,8.33,1.87 (1.51-2.22),253,91.67,3.75 (3.52-3.97),6.80,4.96
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.207,97.0,96,5,5.21,2.27 (1.58-2.97),91,94.79,3.70 (3.23-4.17),1.57,3.92
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.127,67.0,122,26,21.31,2.23 (1.46-2.99),96,78.69,4.41 (4.01-4.81),3.29,3.53
astrocytes microglia 23,327.0,0.488,89.0,120,35,29.17,2.48 (1.97-2.99),85,70.83,4.10 (3.80-4.41),3.36,2.56
astrocytes 4,514.0,0.289,84.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.34,92.0,163,3,1.84,3.40 (2.78-4.03),160,98.16,3.71 (3.44-3.99),3.48,5.20
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
