tipo_celular,module_size,DDX21_MM,DDX21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.198,71.0,97,3,3.09,4.29 (2.56-6.01),94,96.91,3.01 (2.61-3.41),3.13,4.96
T cells 18,506.0,0.16,41.0,225,21,9.33,2.32 (1.78-2.85),204,90.67,3.79 (3.53-4.05),7.53,7.94
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.071,1.0,353,75,21.25,2.34 (2.05-2.63),278,78.75,4.45 (4.27-4.62),18.25,5.32
GABA neurons expressing GLU receptors 22,714.0,0.124,16.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,685.0,0.122,43.0,135,39,28.89,2.18 (1.86-2.51),96,71.11,3.69 (3.31-4.08),3.99,3.65
da like neurons 11,172.0,0.122,15.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.155,81.0,275,69,25.09,2.33 (2.04-2.61),206,74.91,4.82 (4.55-5.08),10.05,4.49
oligodendrocytes 20,358.0,0.176,60.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72),1.88,4.04
GABA like neurons 14,2402.0,0.135,19.0,455,27,5.93,1.58 (1.16-2.01),428,94.07,4.58 (4.40-4.75),21.16,8.06
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,53,19.2,2.15 (1.91-2.40),223,80.8,4.01 (3.77-4.25),9.25,4.13
oligodendrocytes 10,483.0,0.248,77.0,129,1,0.78,NA,128,99.22,3.43 (3.04-3.82),4.91,19.30
connective tissue cells 21,116.0,0.355,81.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.217,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.291,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.094,6.0,127,19,14.96,2.32 (1.88-2.75),108,85.04,3.26 (2.76-3.77),3.07,6.84
microglia 1,813.0,0.194,92.0,79,3,3.8,4.91 (4.41-5.41),76,96.2,3.02 (2.61-3.43),4.27,8.04
oligodendrocytes 3,743.0,0.05,8.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.121,8.0,175,3,1.71,1.71 (1.27-2.16),172,98.29,4.45 (4.10-4.80),3.84,4.63
