tipo_celular,module_size,SLC38A2_MM,SLC38A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.155,31.0,98,5,5.1,1.51 (0.79-2.23),93,94.9,3.35 (2.86-3.84),5.88,13.86
T cells 18,518,0.198,75.0,131,2,1.53,2.62 (1.88-3.36),129,98.47,3.08 (2.80-3.36),5.51,4.74
astrocytes 5,165,0.201,58.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,666,0.162,47.0,127,14,11.02,2.20 (1.70-2.69),113,88.98,4.15 (3.80-4.50),4.31,6.03
GABA neurons expressing GLU receptors 22,567,0.32,83.0,16,2,12.5,2.34 (1.57-3.12),14,87.5,1.91 (1.13-2.69),1.65,3.92
GLU like neurons 17,685,0.132,51.0,135,27,20.0,2.03 (1.69-2.37),108,80.0,3.55 (3.20-3.90),3.29,3.86
da like neurons 11,408,0.17,50.0,25,8,32.0,3.14 (0.98-5.30),17,68.0,5.59 (4.13-7.06),1.96,2.43
GABA neurons expressing GABA receptors 13,288,0.078,2.0,93,7,7.53,2.54 (1.18-3.90),86,92.47,5.43 (4.95-5.91),2.17,4.09
endothelial cells 9,385,0.263,94.0,275,36,13.09,2.13 (1.81-2.45),239,86.91,4.38 (4.11-4.65),9.38,5.36
oligodendrocytes 20,358,0.144,46.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,2402,0.257,57.0,455,17,3.74,2.14 (1.53-2.75),438,96.26,4.46 (4.28-4.65),14.79,8.60
astrocytes 8,771,0.34,85.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.155,67.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,130,0.342,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147,0.227,46.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,338,0.161,58.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,313,0.124,10.0,291,18,6.19,2.79 (2.37-3.21),273,93.81,4.46 (4.23-4.69),5.55,3.70
da neurons 6,518,0.145,80.0,122,16,13.11,2.67 (1.90-3.44),106,86.89,4.24 (3.82-4.67),4.39,3.35
astrocytes microglia 23,255,0.302,79.0,57,6,10.53,2.50 (2.22-2.77),51,89.47,2.67 (2.27-3.08),1.97,3.49
astrocytes 4,255,0.291,96.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613,0.452,100.0,127,14,11.02,2.17 (1.79-2.55),113,88.98,3.24 (2.75-3.72),3.19,6.66
microglia 1,1615,0.138,83.0,161,28,17.39,1.77 (1.47-2.06),133,82.61,3.68 (3.39-3.96),7.23,5.05
oligodendrocytes 3,743,0.318,100.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.414,95.0,175,7,4.0,2.48 (1.66-3.30),168,96.0,4.50 (4.15-4.86),4.66,4.62
