tipo_celular,module_size,SLC44A2_MM,SLC44A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.159,55.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932.0,0.064,2.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.059,1.0,353,22,6.23,2.34 (1.48-3.21),331,93.77,4.03 (3.85-4.20),25.48,6.91
GABA neurons expressing GLU receptors 22,203.0,0.384,88.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.176,75.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.113,36.0,133,8,6.02,0.64 (0.39-0.89),125,93.98,3.45 (3.15-3.76),6.41,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.089,18.0,155,1,0.65,3.13 (NA-NA),154,99.35,4.35 (3.98-4.72),2.86,4.34
oligodendrocytes 20,938.0,0.149,61.0,169,25,14.79,2.84 (2.34-3.34),144,85.21,3.58 (3.34-3.82),7.02,5.08
GABA like neurons 14,2090.0,0.149,46.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.091,60.0,66,9,13.64,1.06 (0.37-1.75),57,86.36,3.63 (3.25-4.02),3.39,2.88
oligodendrocyte progenitor cells 12,1049.0,0.078,40.0,235,25,10.64,3.69 (3.27-4.10),210,89.36,3.84 (3.58-4.09),6.78,7.71
oligodendrocytes 10,483.0,0.054,12.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.053,29.0,54,8,14.81,2.84 (2.23-3.44),46,85.19,3.85 (3.35-4.35),3.05,3.01
oligodendrocytes 16,151.0,0.27,92.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.295,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.142,33.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,479.0,0.106,12.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.096,50.0,15,8,53.33,3.09 (1.17-5.02),7,46.67,3.67 (1.67-5.67),2.68,1.69
oligodendrocytes 2,1630.0,0.122,17.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
