tipo_celular,module_size,PARVA_MM,PARVA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.09,7.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,16,4.53,1.66 (1.09-2.24),337,95.47,4.03 (3.85-4.21),23.94,7.31
GABA neurons expressing GLU receptors 22,599.0,0.323,90.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.238,65.0,54,5,9.26,5.39 (3.24-7.54),49,90.74,4.80 (4.15-5.46),3.06,5.24
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.133,35.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.095,63.0,66,16,24.24,2.42 (1.66-3.17),50,75.76,3.54 (3.07-4.02),3.64,2.73
oligodendrocyte progenitor cells 12,3303.0,0.051,17.0,276,8,2.9,2.17 (1.36-2.97),268,97.1,3.59 (3.37-3.81),5.09,5.11
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,139.0,0.237,15.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1401.0,0.089,53.0,96,17,17.71,4.00 (3.12-4.87),79,82.29,3.54 (3.03-4.05),4.89,3.56
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,99.0,0.212,10.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,787.0,0.146,40.0,65,5,7.69,4.26 (3.54-4.98),60,92.31,2.82 (2.41-3.23),2.71,6.00
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
