tipo_celular,module_size,SLC2A13_MM,SLC2A13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.184,55.0,140,15,10.71,5.11 (3.53-6.69),125,89.29,4.43 (4.00-4.86),3.63,3.57
T cells 18,282.0,0.157,48.0,241,9,3.73,3.80 (2.22-5.39),232,96.27,4.06 (3.81-4.32),2.60,4.41
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.073,2.0,251,7,2.79,2.84 (2.42-3.26),244,97.21,4.12 (3.87-4.36),4.35,6.21
GABA neurons expressing GLU receptors 22,459.0,0.147,46.0,165,11,6.67,2.52 (1.57-3.46),154,93.33,5.28 (4.95-5.62),3.76,4.11
GLU like neurons 17,489.0,0.189,76.0,42,3,7.14,4.33 (4.33-4.33),39,92.86,6.11 (5.54-6.68),5.87,3.01
da like neurons 11,191.0,0.387,74.0,93,8,8.6,3.31 (2.19-4.43),85,91.4,5.87 (5.48-6.26),5.47,4.01
GABA neurons expressing GABA receptors 13,357.0,0.194,65.0,237,7,2.95,6.40 (4.27-8.53),230,97.05,4.35 (4.12-4.58),2.31,4.24
endothelial cells 9,338.0,0.278,84.0,191,6,3.14,2.45 (2.24-2.66),185,96.86,3.93 (3.71-4.16),3.14,9.35
oligodendrocytes 20,295.0,0.123,22.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300.0,0.142,20.0,306,24,7.84,2.57 (1.74-3.39),282,92.16,5.33 (5.08-5.59),8.42,6.56
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.24,80.0,32,7,21.88,0.64 (0.20-1.08),25,78.12,3.96 (3.16-4.75),3.81,2.26
oligodendrocytes 10,806.0,0.385,89.0,261,16,6.13,3.46 (2.33-4.58),245,93.87,4.42 (4.17-4.66),7.84,5.95
connective tissue cells 21,95.0,0.239,26.0,4,1,25.0,2.71 (NA-NA),3,75.0,3.73 (2.31-5.14),1.38,1.83
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.401,87.0,291,18,6.19,3.21 (2.27-4.16),273,93.81,4.42 (4.19-4.64),5.11,3.73
da neurons 6,307.0,0.341,100.0,95,3,3.16,NA,92,96.84,4.85 (4.41-5.28),4.73,3.32
astrocytes microglia 23,58.0,0.33,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,116.0,0.172,54.0,169,11,6.51,3.12 (1.83-4.41),158,93.49,4.36 (4.05-4.66),3.83,6.67
microglia 1,346.0,0.104,17.0,43,2,4.65,3.94 (1.54-6.34),41,95.35,3.76 (3.23-4.28),1.48,4.63
oligodendrocytes 3,457.0,0.287,92.0,345,12,3.48,3.42 (1.74-5.09),333,96.52,4.30 (4.09-4.51),5.07,5.71
oligodendrocytes 2,99.0,0.365,76.0,116,9,7.76,3.38 (1.69-5.07),107,92.24,4.00 (3.70-4.30),3.35,7.56
