tipo_celular,module_size,SLC12A9_MM,SLC12A9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.185,54.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.085,14.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.104,12.0,353,6,1.7,1.10 (0.45-1.74),347,98.3,3.95 (3.77-4.14),27.48,7.73
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,233.0,0.176,41.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,218.0,0.087,48.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,254.0,0.022,1.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08),NA,2.47
oligodendrocytes 10,2107.0,0.057,8.0,358,6,1.68,0.90 (0.35-1.44),352,98.32,3.93 (3.74-4.12),21.29,9.27
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.06,23.0,105,3,2.86,1.23 (0.23-2.23),102,97.14,3.28 (2.94-3.61),4.56,3.96
oligodendrocytes 16,61.0,0.198,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.314,47.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,1807.0,0.141,44.0,104,1,0.96,0.21 (NA-NA),103,99.04,2.89 (2.61-3.17),12.93,5.32
oligodendrocytes 0,2078.0,0.099,21.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88),8.21,5.00
microglia 1,813.0,0.146,76.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,743.0,0.044,5.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.161,87.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
