tipo_celular,module_size,GOSR1_MM,GOSR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.164,25.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79),2.04,5.05
T cells 18,610.0,0.156,54.0,98,19,19.39,2.59 (1.61-3.56),79,80.61,3.26 (2.97-3.56),6.36,3.48
astrocytes 5,1656.0,0.088,12.0,136,6,4.41,3.77 (3.12-4.42),130,95.59,3.18 (2.90-3.46),3.82,5.04
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,32,9.07,2.77 (2.13-3.41),321,90.93,4.04 (3.85-4.22),20.79,6.80
GABA neurons expressing GLU receptors 22,1069.0,0.136,27.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.106,8.0,39,6,15.38,3.68 (2.14-5.23),33,84.62,2.82 (2.24-3.41),2.65,2.55
da like neurons 11,853.0,0.109,34.0,133,10,7.52,1.73 (0.82-2.65),123,92.48,3.40 (3.08-3.72),5.41,4.06
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.08,14.0,297,3,1.01,6.21 (4.87-7.55),294,98.99,3.64 (3.44-3.84),4.93,5.52
oligodendrocytes 20,322.0,0.083,31.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.12,34.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.027,1.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.09,64.0,276,16,5.8,3.12 (2.56-3.68),260,94.2,3.58 (3.35-3.81),10.80,4.76
oligodendrocytes 10,2107.0,0.105,31.0,358,24,6.7,2.64 (1.84-3.45),334,93.3,3.98 (3.79-4.17),20.74,8.66
connective tissue cells 21,92.0,0.208,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.059,22.0,105,12,11.43,2.50 (1.73-3.26),93,88.57,3.31 (2.95-3.68),4.57,3.90
oligodendrocytes 16,91.0,0.146,15.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.264,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.154,56.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.143,96.0,238,10,4.2,3.10 (2.20-4.01),228,95.8,3.66 (3.44-3.89),6.95,4.94
microglia 1,958.0,0.112,51.0,290,6,2.07,2.52 (1.56-3.48),284,97.93,3.85 (3.62-4.08),4.82,5.00
oligodendrocytes 3,854.0,0.086,44.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.131,38.0,200,8,4.0,3.04 (2.25-3.82),192,96.0,3.65 (3.38-3.93),4.33,3.43
