tipo_celular,module_size,SLC39A10_MM,SLC39A10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.14,14.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,727,0.184,80.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,499,0.173,57.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285,0.14,58.0,353,4,1.13,1.17 (0.26-2.09),349,98.87,3.93 (3.74-4.11),12.97,8.01
GABA neurons expressing GLU receptors 22,848,0.117,11.0,262,3,1.15,0.68 (0.05-1.31),259,98.85,4.22 (3.97-4.46),4.39,4.10
GLU like neurons 17,1316,0.171,84.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,132,0.278,57.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,265,0.099,11.0,78,6,7.69,3.10 (2.16-4.04),72,92.31,4.50 (4.06-4.93),4.46,4.25
endothelial cells 9,658,0.443,97.0,120,8,6.67,3.65 (2.57-4.73),112,93.33,4.69 (4.36-5.01),3.37,3.67
oligodendrocytes 20,295,0.194,51.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2402,0.291,64.0,455,4,0.88,2.62 (1.18-4.06),451,99.12,4.36 (4.18-4.55),9.04,8.83
astrocytes 8,520,0.102,43.0,288,6,2.08,2.22 (1.21-3.23),282,97.92,4.23 (4.03-4.43),6.79,4.64
oligodendrocyte progenitor cells 12,3303,0.101,75.0,276,5,1.81,1.73 (1.15-2.31),271,98.19,3.59 (3.37-3.80),9.09,5.04
oligodendrocytes 10,735,0.117,62.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,103,0.32,75.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,367,0.206,85.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,75,0.241,80.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,518,0.138,76.0,122,13,10.66,3.16 (2.15-4.17),109,89.34,4.12 (3.70-4.54),4.10,3.41
astrocytes microglia 23,28,0.235,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.161,81.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,2078,0.138,92.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88),8.21,5.00
microglia 1,1615,0.166,95.0,161,3,1.86,0.90 (-0.14-1.94),158,98.14,3.33 (3.06-3.59),5.29,5.43
oligodendrocytes 3,1003,0.086,40.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630,0.134,32.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
