tipo_celular,module_size,SLC6A1_MM,SLC6A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,118.0,0.232,60.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,436.0,0.174,73.0,219,27,12.33,4.96 (4.25-5.67),192,87.67,5.26 (4.94-5.57),6.41,4.36
GABA neurons expressing GLU receptors 22,848.0,0.183,39.0,262,19,7.25,4.26 (3.09-5.43),243,92.75,4.15 (3.90-4.39),5.72,3.98
GLU like neurons 17,489.0,0.262,87.0,42,8,19.05,5.20 (4.35-6.05),34,80.95,6.23 (5.58-6.89),4.04,3.02
da like neurons 11,408.0,0.151,44.0,25,9,36.0,4.18 (2.02-6.34),16,64.0,4.97 (3.29-6.64),2.16,2.34
GABA neurons expressing GABA receptors 13,357.0,0.209,70.0,237,8,3.38,5.15 (3.72-6.58),229,96.62,4.39 (4.16-4.63),2.67,4.24
endothelial cells 9,586.0,0.713,100.0,62,3,4.84,4.14 (2.24-6.05),59,95.16,4.04 (3.58-4.51),4.03,4.22
oligodendrocytes 20,330.0,0.162,46.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,1300.0,0.128,15.0,306,45,14.71,3.75 (3.07-4.43),261,85.29,5.41 (5.14-5.67),8.85,6.34
astrocytes 8,279.0,0.179,15.0,78,6,7.69,3.34 (1.63-5.05),72,92.31,4.41 (3.99-4.83),4.43,2.56
oligodendrocyte progenitor cells 12,254.0,0.437,89.0,37,7,18.92,3.77 (2.16-5.37),30,81.08,4.67 (4.07-5.28),2.61,2.44
oligodendrocytes 10,806.0,0.1,26.0,261,15,5.75,4.42 (3.05-5.78),246,94.25,4.36 (4.12-4.60),6.41,6.04
connective tissue cells 21,101.0,0.261,29.0,116,21,18.1,3.87 (2.89-4.86),95,81.9,4.82 (4.37-5.26),4.32,2.97
astrocytes 15,268.0,0.41,99.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76),1.92,1.55
oligodendrocytes 16,91.0,0.129,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.193,95.0,122,23,18.85,3.66 (2.68-4.63),99,81.15,4.08 (3.66-4.51),3.99,3.37
astrocytes microglia 23,141.0,0.385,94.0,30,8,26.67,3.64 (1.77-5.51),22,73.33,6.42 (5.69-7.15),3.53,4.23
astrocytes 4,251.0,0.316,98.0,34,6,17.65,3.57 (2.29-4.85),28,82.35,5.67 (5.09-6.24),2.34,3.23
oligodendrocytes 0,479.0,0.147,45.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.169,86.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,237.0,0.186,33.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
