tipo_celular,module_size,GPLD1_MM,GPLD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.126,68.0,136,3,2.21,2.26 (0.99-3.53),133,97.79,3.23 (2.96-3.51),6.21,4.96
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,42,11.9,2.70 (2.20-3.20),311,88.1,4.11 (3.92-4.30),19.06,6.58
GABA neurons expressing GLU receptors 22,848.0,0.158,26.0,262,35,13.36,4.01 (3.51-4.50),227,86.64,4.19 (3.91-4.47),6.45,3.74
GLU like neurons 17,380.0,0.17,47.0,39,5,12.82,3.01 (2.10-3.92),34,87.18,2.96 (2.33-3.59),2.11,2.64
da like neurons 11,97.0,0.249,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.188,87.0,125,1,0.8,5.80 (NA-NA),124,99.2,3.33 (3.01-3.65),1.30,8.67
astrocytes 8,262.0,0.119,40.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.07,39.0,276,39,14.13,3.29 (2.72-3.86),237,85.87,3.60 (3.37-3.83),7.20,4.77
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.053,25.0,10,5,50.0,4.08 (0.62-7.55),5,50.0,3.46 (1.38-5.53),1.52,1.66
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.297,38.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,1807.0,0.158,75.0,104,13,12.5,2.02 (1.33-2.72),91,87.5,2.99 (2.70-3.29),11.42,4.54
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
