tipo_celular,module_size,SLC36A4_MM,SLC36A4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.244,78.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,624,0.132,33.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.142,66.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68),8.68,4.50
oligodendrocyte progenitor cells 7,4285,0.163,89.0,353,11,3.12,1.25 (0.53-1.97),342,96.88,4.00 (3.82-4.18),38.73,7.08
GABA neurons expressing GLU receptors 22,459,0.065,6.0,165,3,1.82,2.94 (2.14-3.74),162,98.18,5.12 (4.77-5.47),4.19,4.09
GLU like neurons 17,1316,0.135,60.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,132,0.059,2.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,266,0.218,77.0,118,1,0.85,3.75 (NA-NA),117,99.15,4.75 (4.39-5.10),4.98,3.98
endothelial cells 9,1653,0.087,17.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,348,0.033,7.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052,0.12,33.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.031,4.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,3303,0.037,6.0,276,4,1.45,2.50 (1.61-3.40),272,98.55,3.56 (3.34-3.78),7.39,5.08
oligodendrocytes 10,806,0.032,3.0,261,8,3.07,2.52 (1.79-3.24),253,96.93,4.44 (4.20-4.69),12.19,5.87
connective tissue cells 21,118,0.216,10.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1401,0.044,12.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,88,0.172,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.178,92.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,115,0.321,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.17,82.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.124,30.0,127,1,0.79,3.87 (NA-NA),126,99.21,3.04 (2.62-3.46),2.11,6.31
microglia 1,958,0.128,73.0,290,3,1.03,2.64 (1.44-3.85),287,98.97,3.83 (3.60-4.06),3.60,5.01
oligodendrocytes 3,681,0.073,30.0,87,2,2.3,0.53 (0.51-0.56),85,97.7,2.64 (2.37-2.90),8.77,4.14
oligodendrocytes 2,921,0.165,88.0,200,3,1.5,2.54 (1.22-3.86),197,98.5,3.64 (3.37-3.91),2.90,3.47
