tipo_celular,module_size,TENM3_MM,TENM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.122,35.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68),2.58,4.57
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.265,74.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,489.0,0.32,92.0,42,15,35.71,5.67 (4.92-6.42),27,64.29,6.24 (5.44-7.04),3.58,3.01
da like neurons 11,87.0,0.328,60.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,88.0,0.168,64.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.186,40.0,306,41,13.4,4.02 (3.36-4.68),265,86.6,5.34 (5.07-5.62),14.09,5.56
astrocytes 8,727.0,0.194,87.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,57.0,0.259,38.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,377.0,0.159,54.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.166,88.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,80.0,0.247,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.159,59.0,96,3,3.12,4.33 (3.16-5.50),93,96.88,3.25 (2.91-3.58),2.35,4.38
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
