tipo_celular,module_size,SLC25A36_MM,SLC25A36_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.259,77.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,282,0.212,76.0,12,1,8.33,6.08 (NA-NA),11,91.67,3.05 (1.95-4.15),2.69,5.62
astrocytes 5,328,0.127,29.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,4285,0.087,4.0,353,14,3.97,1.62 (0.76-2.49),339,96.03,4.01 (3.83-4.19),31.99,7.08
GABA neurons expressing GLU receptors 22,599,0.217,54.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316,0.084,14.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,289,0.131,27.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,200,0.148,48.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,1653,0.08,14.0,297,1,0.34,6.08 (NA-NA),296,99.66,3.66 (3.46-3.87),2.94,5.53
oligodendrocytes 20,279,0.151,28.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402,0.314,69.0,455,12,2.64,1.86 (0.80-2.93),443,97.36,4.43 (4.24-4.61),30.84,8.24
astrocytes 8,354,0.103,39.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,1049,0.091,49.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483,0.146,60.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,125,0.27,36.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401,0.107,69.0,96,2,2.08,2.11 (1.89-2.34),94,97.92,3.65 (3.19-4.11),4.01,3.79
oligodendrocytes 16,91,0.161,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.141,80.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,96,0.269,18.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,752,0.154,51.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,309,0.093,11.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615,0.052,1.0,161,9,5.59,0.81 (0.34-1.29),152,94.41,3.45 (3.19-3.71),15.42,4.84
oligodendrocytes 3,743,0.079,46.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526,0.063,1.0,213,1,0.47,4.26 (NA-NA),212,99.53,3.98 (3.70-4.25),2.09,7.96
