tipo_celular,module_size,BTBD2_MM,BTBD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.061,1.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.079,2.0,353,12,3.4,1.14 (0.49-1.78),341,96.6,3.99 (3.81-4.17),28.51,7.34
GABA neurons expressing GLU receptors 22,1069.0,0.141,33.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.129,47.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.138,56.0,133,6,4.51,1.28 (0.27-2.28),127,95.49,3.37 (3.05-3.68),5.11,4.12
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.096,41.0,18,3,16.67,0.58 (0.22-0.94),15,83.33,2.14 (1.39-2.88),6.88,3.17
GABA like neurons 14,2090.0,0.275,96.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.092,61.0,66,10,15.15,2.24 (1.05-3.43),56,84.85,3.44 (3.01-3.86),4.12,2.74
oligodendrocyte progenitor cells 12,1049.0,0.052,17.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,735.0,0.052,14.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,92.0,0.393,91.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1768.0,0.092,54.0,105,4,3.81,0.90 (-0.14-1.94),101,96.19,3.29 (2.95-3.62),4.49,3.96
oligodendrocytes 16,113.0,0.193,41.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,553.0,0.067,3.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,76.0,0.258,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.127,20.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,2078.0,0.08,4.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.049,8.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,1630.0,0.121,15.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
