tipo_celular,module_size,SLC43A2_MM,SLC43A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.252,79.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.134,39.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666.0,0.155,40.0,127,6,4.72,2.43 (1.12-3.75),121,95.28,3.94 (3.60-4.28),4.20,5.92
GABA neurons expressing GLU receptors 22,714.0,0.26,84.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1247.0,0.288,97.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.229,90.0,133,1,0.75,2.54 (NA-NA),132,99.25,3.26 (2.95-3.58),5.51,4.15
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.242,93.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577.0,0.1,61.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,7,2.54,1.91 (1.12-2.70),269,97.46,3.60 (3.38-3.82),7.59,5.05
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.188,96.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.123,63.0,122,11,9.02,2.60 (1.72-3.48),111,90.98,4.12 (3.71-4.53),4.50,3.38
astrocytes microglia 23,327.0,0.364,64.0,120,8,6.67,1.91 (1.11-2.71),112,93.33,3.75 (3.44-4.05),2.89,2.79
astrocytes 4,514.0,0.197,58.0,95,2,2.11,0.83 (0.75-0.91),93,97.89,3.44 (3.02-3.86),3.41,4.67
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.352,93.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
